,gamePk,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.score,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.score,teams.home.team.id,teams.home.team.name,teams.home.team.link,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,linescore.currentInning,linescore.currentInningOrdinal,linescore.inningState,linescore.inningHalf,linescore.isTopInning,linescore.scheduledInnings,linescore.innings,linescore.teams.home.runs,linescore.teams.home.hits,linescore.teams.home.errors,linescore.teams.home.leftOnBase,linescore.teams.away.runs,linescore.teams.away.hits,linescore.teams.away.errors,linescore.teams.away.leftOnBase,linescore.defense.batter.id,linescore.defense.batter.fullName,linescore.defense.batter.link,linescore.defense.onDeck.id,linescore.defense.onDeck.fullName,linescore.defense.onDeck.link,linescore.defense.inHole.id,linescore.defense.inHole.fullName,linescore.defense.inHole.link,linescore.balls,linescore.strikes,linescore.outs,venue.id,venue.name,venue.link,content.link,linescore.note
0,631126,/api/v1.1/game/631126/feed/live,R,2020,2020-07-26T17:05:00Z,2020-07-26,False,1,True,N,P,N,14-631126-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,1,.667,11,146,Miami Marlins,/api/v1/teams/146,True,False,1,1,2,.333,6,143,Philadelphia Phillies,/api/v1/teams/143,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 4, 'hits': 5, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 4, 'hits': 3, 'errors': 1, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 3, 'hits': 4, 'errors': 0, 'leftOnBase': 2}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 0}}]",6,12,1,14,11,12,2,6,642423,Magneuris Sierra,/api/v1/people/642423,542340,Jonathan Villar,/api/v1/people/542340,542932,Jon Berti,/api/v1/people/542932,0,1,3,2681,Citizens Bank Park,/api/v1/venues/2681,/api/v1/game/631126/content,
1,630856,/api/v1.1/game/630856/feed/live,R,2020,2020-07-26T17:05:00Z,2020-07-26,False,1,True,N,P,N,14-630856-2020-07-26,2020,day,9,False,145.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,1,.667,3,147,New York Yankees,/api/v1/teams/147,True,False,1,1,2,.333,2,120,Washington Nationals,/api/v1/teams/120,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 1, 'hits': 2, 'errors': 1, 'leftOnBase': 3}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",2,7,0,7,3,5,1,5,596142,Gary Sanchez,/api/v1/people/596142,518934,DJ LeMahieu,/api/v1/people/518934,592450,Aaron Judge,/api/v1/people/592450,1,0,3,3309,Nationals Park,/api/v1/venues/3309,/api/v1/game/630856/content,
2,631591,/api/v1.1/game/631591/feed/live,R,2020,2020-07-26T17:10:00Z,2020-07-26,False,1,True,N,P,N,14-631591-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,1,.667,3,116,Detroit Tigers,/api/v1/teams/116,True,False,1,1,2,.333,2,113,Cincinnati Reds,/api/v1/teams/113,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 1, 'hits': 2, 'errors': 1, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}]",2,6,1,9,3,3,0,4,606988,Grayson Greiner,/api/v1/people/606988,592444,JaCoby Jones,/api/v1/people/592444,592348,Niko Goodrum,/api/v1/people/592348,0,2,3,2602,Great American Ball Park,/api/v1/venues/2602,/api/v1/game/631591/content,
3,631566,/api/v1.1/game/631566/feed/live,R,2020,2020-07-26T17:10:00Z,2020-07-26,False,1,True,N,P,N,14-631566-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,2,.333,2,118,Kansas City Royals,/api/v1/teams/118,False,False,1,2,1,.667,9,114,Cleveland Indians,/api/v1/teams/114,True,False,1,9,9th,Top,Top,True,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 2, 'hits': 4, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",9,13,0,6,2,6,2,6,467793,Carlos Santana,/api/v1/people/467793,656185,Greg Allen,/api/v1/people/656185,669288,Daniel Johnson,/api/v1/people/669288,2,3,3,5,Progressive Field,/api/v1/venues/5,/api/v1/game/631566/content,
4,630968,/api/v1.1/game/630968/feed/live,R,2020,2020-07-26T17:10:00Z,2020-07-26,False,1,True,N,P,N,14-630968-2020-07-26,2020,day,9,False,,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,2,.333,5,141,Toronto Blue Jays,/api/v1/teams/141,False,False,1,2,1,.667,6,139,Tampa Bay Rays,/api/v1/teams/139,True,False,1,10,10th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 1, 'hits': 2, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 4, 'hits': 6, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 10, 'ordinalNum': '10th', 'home': {'runs': 2, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",6,8,1,9,5,13,0,12,624415,Cavan Biggio,/api/v1/people/624415,665489,Vladimir Guerrero Jr.,/api/v1/people/665489,642133,Rowdy Tellez,/api/v1/people/642133,1,0,0,12,Tropicana Field,/api/v1/venues/12,/api/v1/game/630968/content,None out when winning run scored.
5,631668,/api/v1.1/game/631668/feed/live,R,2020,2020-07-26T17:35:00Z,2020-07-26,False,1,True,N,P,N,14-631668-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,1,.667,7,110,Baltimore Orioles,/api/v1/teams/110,True,False,1,1,2,.333,4,111,Boston Red Sox,/api/v1/teams/111,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 2}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 2}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}]",4,7,0,3,7,10,1,9,642082,Chance Sisco,/api/v1/people/642082,656775,Cedric Mullins,/api/v1/people/656775,669720,Austin Hays,/api/v1/people/669720,0,3,3,3,Fenway Park,/api/v1/venues/3,/api/v1/game/631668/content,
6,631441,/api/v1.1/game/631441/feed/live,R,2020,2020-07-26T18:10:00Z,2020-07-26,False,1,True,N,P,N,14-631441-2020-07-26,2020,day,9,False,120.0,4,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,2,.333,7,136,Seattle Mariners,/api/v1/teams/136,True,False,1,2,1,.667,6,117,Houston Astros,/api/v1/teams/117,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 4, 'hits': 3, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 3}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}]",6,9,0,7,7,11,0,10,543592,Austin Nola,/api/v1/people/543592,643418,Shed Long Jr.,/api/v1/people/643418,641487,J.P. Crawford,/api/v1/people/641487,3,3,3,2392,Minute Maid Park,/api/v1/venues/2392,/api/v1/game/631441/content,
7,631517,/api/v1.1/game/631517/feed/live,R,2020,2020-07-26T18:10:00Z,2020-07-26,False,1,True,N,P,N,14-631517-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,1,.667,14,142,Minnesota Twins,/api/v1/teams/142,True,False,1,1,2,.333,2,145,Chicago White Sox,/api/v1/teams/145,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 4, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 5, 'hits': 4, 'errors': 0, 'leftOnBase': 2}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 3, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}]",2,6,0,8,14,13,0,5,664774,LaMonte Wade Jr,/api/v1/people/664774,664334,Aaron Whitefield,/api/v1/people/664334,443558,Nelson Cruz,/api/v1/people/443558,1,3,3,4,Guaranteed Rate Field,/api/v1/venues/4,/api/v1/game/631517/content,
8,630993,/api/v1.1/game/630993/feed/live,R,2020,2020-07-26T18:15:00Z,2020-07-26,False,1,True,N,P,N,14-630993-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,2,.333,5,134,Pittsburgh Pirates,/api/v1/teams/134,True,False,1,2,1,.667,1,138,St. Louis Cardinals,/api/v1/teams/138,False,False,1,9,9th,Bottom,Bottom,False,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",1,5,0,4,5,8,0,4,624428,Adam Frazier,/api/v1/people/624428,668804,Bryan Reynolds,/api/v1/people/668804,605137,Josh Bell,/api/v1/people/605137,0,3,3,2889,Busch Stadium,/api/v1/venues/2889,/api/v1/game/630993/content,
9,631643,/api/v1.1/game/631643/feed/live,R,2020,2020-07-26T18:20:00Z,2020-07-26,False,1,True,N,P,N,14-631643-2020-07-26,2020,day,9,False,120.0,3,3,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,2,.333,1,158,Milwaukee Brewers,/api/v1/teams/158,False,False,1,2,1,.667,9,112,Chicago Cubs,/api/v1/teams/112,True,False,1,9,9th,Top,Top,True,9,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 4, 'hits': 4, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 3, 'hits': 2, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}}]",9,11,0,7,1,3,0,7,575929,Willson Contreras,/api/v1/people/575929,518792,Jason Heyward,/api/v1/people/518792,663538,Nico Hoerner,/api/v1/people/663538,0,2,3,17,Wrigley Field,/api/v1/venues/17,/api/v1/game/631643/content,
