,gamePk,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.score,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.score,teams.home.team.id,teams.home.team.name,teams.home.team.link,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,linescore.currentInning,linescore.currentInningOrdinal,linescore.inningState,linescore.inningHalf,linescore.isTopInning,linescore.scheduledInnings,linescore.innings,linescore.teams.home.runs,linescore.teams.home.hits,linescore.teams.home.errors,linescore.teams.home.leftOnBase,linescore.teams.away.runs,linescore.teams.away.hits,linescore.teams.away.errors,linescore.teams.away.leftOnBase,linescore.defense.batter.id,linescore.defense.batter.fullName,linescore.defense.batter.link,linescore.defense.onDeck.id,linescore.defense.onDeck.fullName,linescore.defense.onDeck.link,linescore.defense.inHole.id,linescore.defense.inHole.fullName,linescore.defense.inHole.link,linescore.balls,linescore.strikes,linescore.outs,venue.id,venue.name,venue.link,content.link,description,rescheduleDate,status.reason
0,631168,/api/v1.1/game/631168/feed/live,R,2020,2020-07-27T19:40:00Z,2020-07-27,False,1,True,N,P,N,14-631168-2020-07-27,2020,day,9,False,120.0,4,4,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,3,.250,0,108,Los Angeles Angels,/api/v1/teams/108,False,False,1,3,1,.750,3,133,Oakland Athletics,/api/v1/teams/133,True,False,1,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 3, 'errors': 0, 'leftOnBase': 2}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}]",3.0,6.0,0.0,6.0,0.0,9.0,0.0,11.0,572039.0,Stephen Piscotty,/api/v1/people/572039,669221.0,Sean Murphy,/api/v1/people/669221,643393.0,Tony Kemp,/api/v1/people/643393,2.0,3.0,3.0,10,Oakland Coliseum,/api/v1/venues/10,/api/v1/game/631168/content,,,
1,631098,/api/v1.1/game/631098/feed/live,R,2020,2020-07-27T20:10:00Z,2020-07-27,False,1,True,N,P,N,14-631098-2020-07-27,2020,day,9,False,145.0,4,4,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,3,.250,2,109,Arizona Diamondbacks,/api/v1/teams/109,False,False,1,3,1,.750,6,135,San Diego Padres,/api/v1/teams/135,True,False,1,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 5, 'hits': 4, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",6.0,7.0,1.0,4.0,2.0,6.0,0.0,8.0,642336.0,Francisco Mejia,/api/v1/people/642336,658668.0,Edward Olivares,/api/v1/people/658668,665487.0,Fernando Tatis Jr.,/api/v1/people/665487,0.0,1.0,3.0,2680,Petco Park,/api/v1/venues/2680,/api/v1/game/631098/content,,,
2,630861,/api/v1.1/game/630861/feed/live,R,2020,2020-07-27T22:05:00Z,2020-07-27,False,1,True,N,P,N,14-630861-2020-07-27,2020,night,9,False,120.0,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,2,.500,4,141,Toronto Blue Jays,/api/v1/teams/141,True,False,2,1,3,.250,1,120,Washington Nationals,/api/v1/teams/120,False,False,2,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}]",1.0,11.0,0.0,10.0,4.0,7.0,0.0,6.0,624415.0,Cavan Biggio,/api/v1/people/624415,666971.0,Lourdes Gurriel Jr.,/api/v1/people/666971,665489.0,Vladimir Guerrero Jr.,/api/v1/people/665489,1.0,2.0,3.0,3309,Nationals Park,/api/v1/venues/3309,/api/v1/game/630861/content,,,
3,631592,/api/v1.1/game/631592/feed/live,R,2020,2020-07-27T22:40:00Z,2020-07-27,False,1,True,N,P,N,14-631592-2020-07-27,2020,night,9,False,120.0,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3,1,.750,8,112,Chicago Cubs,/api/v1/teams/112,True,False,2,1,3,.250,7,113,Cincinnati Reds,/api/v1/teams/113,False,False,2,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 4, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 3}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 2, 'hits': 0, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",7.0,6.0,1.0,13.0,8.0,8.0,2.0,9.0,546991.0,Albert Almora Jr.,/api/v1/people/546991,543401.0,Jason Kipnis,/api/v1/people/543401,519203.0,Anthony Rizzo,/api/v1/people/519203,3.0,2.0,3.0,2602,Great American Ball Park,/api/v1/venues/2602,/api/v1/game/631592/content,,,
4,630969,/api/v1.1/game/630969/feed/live,R,2020,2020-07-27T22:40:00Z,2020-07-27,False,1,True,N,P,N,14-630969-2020-07-27,2020,night,9,False,120.0,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,2,.500,5,144,Atlanta Braves,/api/v1/teams/144,False,False,2,3,1,.750,14,139,Tampa Bay Rays,/api/v1/teams/139,True,False,2,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 8, 'hits': 4, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 2, 'hits': 2, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 4, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 1, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}]",14.0,13.0,2.0,4.0,5.0,4.0,0.0,4.0,642715.0,Willy Adames,/api/v1/people/642715,622534.0,Manuel Margot,/api/v1/people/622534,607345.0,Kevan Smith,/api/v1/people/607345,3.0,2.0,3.0,12,Tropicana Field,/api/v1/venues/12,/api/v1/game/630969/content,,,
5,631130,/api/v1.1/game/631130/feed/live,R,2020,2020-07-27T23:05:00Z,2020-07-27,False,1,True,N,P,N,14-631130-2020-07-27,2020,night,9,False,120.0,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,2,.500,6,158,Milwaukee Brewers,/api/v1/teams/158,True,False,2,1,3,.250,5,134,Pittsburgh Pirates,/api/v1/teams/134,False,False,2,11.0,11th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 4, 'hits': 2, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 2, 'errors': 1, 'leftOnBase': 3}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 4, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 10, 'ordinalNum': '10th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 11, 'ordinalNum': '11th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}]",5.0,4.0,1.0,5.0,6.0,11.0,1.0,12.0,553882.0,Omar Narvaez,/api/v1/people/553882,541645.0,Avisail Garcia,/api/v1/people/541645,475253.0,Justin Smoak,/api/v1/people/475253,3.0,3.0,3.0,31,PNC Park,/api/v1/venues/31,/api/v1/game/631130/content,Pirates home opener,,
6,631489,/api/v1.1/game/631489/feed/live,R,2020,2020-07-27T23:10:00Z,2020-07-27,False,1,True,N,P,N,14-631489-2020-07-27,2020,night,9,False,120.0,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,2,.500,14,118,Kansas City Royals,/api/v1/teams/118,True,False,2,2,2,.500,6,116,Detroit Tigers,/api/v1/teams/116,False,False,2,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 5, 'hits': 4, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 1, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 4, 'errors': 0, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 6, 'hits': 4, 'errors': 1, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 2, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}]",6.0,9.0,0.0,8.0,14.0,13.0,2.0,6.0,609275.0,Adalberto Mondesi,/api/v1/people/609275,591712.0,Oscar Hernandez,/api/v1/people/591712,656811.0,Ryan O'Hearn,/api/v1/people/656811,0.0,1.0,3.0,2394,Comerica Park,/api/v1/venues/2394,/api/v1/game/631489/content,Tigers home opener,,
7,631442,/api/v1.1/game/631442/feed/live,R,2020,2020-07-27T23:10:00Z,2020-07-27,False,1,True,N,P,N,14-631442-2020-07-27,2020,night,9,False,120.0,4,4,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,1,3,.250,5,136,Seattle Mariners,/api/v1/teams/136,False,False,1,3,1,.750,8,117,Houston Astros,/api/v1/teams/117,True,False,1,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 4, 'hits': 2, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 2, 'errors': 1, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}]",8.0,8.0,1.0,5.0,5.0,9.0,1.0,10.0,514888.0,Jose Altuve,/api/v1/people/514888,608324.0,Alex Bregman,/api/v1/people/608324,488726.0,Michael Brantley,/api/v1/people/488726,1.0,1.0,3.0,2392,Minute Maid Park,/api/v1/venues/2392,/api/v1/game/631442/content,,,
8,631669,/api/v1.1/game/631669/feed/live,R,2020,2020-07-27T23:35:00Z,2020-07-27,False,1,True,N,P,N,14-631669-2020-07-27,2020,night,9,False,145.0,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,2,2,.500,7,121,New York Mets,/api/v1/teams/121,True,False,2,1,3,.250,4,111,Boston Red Sox,/api/v1/teams/111,False,False,2,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 1, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}]",4.0,8.0,2.0,5.0,7.0,11.0,0.0,6.0,624424.0,Michael Conforto,/api/v1/people/624424,467092.0,Wilson Ramos,/api/v1/people/467092,665926.0,Andres Gimenez,/api/v1/people/665926,1.0,2.0,3.0,3,Fenway Park,/api/v1/venues/3,/api/v1/game/631669/content,,,
9,631127,/api/v1.1/game/631127/feed/live,R,2020,2020-07-27T23:05:00Z,2020-08-05,,1,True,N,P,N,14-631127-2020-07-27,2020,night,7,False,145.0,4,1,Regular Season,S,N,Normal Game,Final,D,Postponed,DE,True,F,8,2,.800,3,147,New York Yankees,/api/v1/teams/147,,False,2,2,3,.400,1,143,Philadelphia Phillies,/api/v1/teams/143,,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2681,Citizens Bank Park,/api/v1/venues/2681,/api/v1/game/631127/content,,2020-08-05T03:33:00Z,COVID-19
