,gamePk,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.score,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.score,teams.home.team.id,teams.home.team.name,teams.home.team.link,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,linescore.currentInning,linescore.currentInningOrdinal,linescore.inningState,linescore.inningHalf,linescore.isTopInning,linescore.scheduledInnings,linescore.innings,linescore.teams.home.runs,linescore.teams.home.hits,linescore.teams.home.errors,linescore.teams.home.leftOnBase,linescore.teams.away.runs,linescore.teams.away.hits,linescore.teams.away.errors,linescore.teams.away.leftOnBase,linescore.defense.batter.id,linescore.defense.batter.fullName,linescore.defense.batter.link,linescore.defense.onDeck.id,linescore.defense.onDeck.fullName,linescore.defense.onDeck.link,linescore.defense.inHole.id,linescore.defense.inHole.fullName,linescore.defense.inHole.link,linescore.balls,linescore.strikes,linescore.outs,venue.id,venue.name,venue.link,content.link,rescheduleDate,status.reason
0,630886,/api/v1.1/game/630886/feed/live,R,2020,2020-08-21T22:05:00Z,2020-08-21,False,1,True,N,P,N,14-630886-2020-08-21,2020,night,9,False,120,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,10,9,.526,3,146,Miami Marlins,/api/v1/teams/146,True,False,9,9,13,.409,2,120,Washington Nationals,/api/v1/teams/120,False,False,9,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 3}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",2.0,4.0,0.0,4.0,3.0,9.0,0.0,8.0,465041.0,Francisco Cervelli,/api/v1/people/465041,605119.0,Brian Anderson,/api/v1/people/605119,572816.0,Corey Dickerson,/api/v1/people/572816,2.0,2.0,3.0,3309,Nationals Park,/api/v1/venues/3309,/api/v1/game/630886/content,,
1,630960,/api/v1.1/game/630960/feed/live,R,2020,2020-08-21T22:40:00Z,2020-08-21,False,1,True,N,P,N,14-630960-2020-08-21,2020,night,9,False,120,4,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,13,11,.542,6,141,Toronto Blue Jays,/api/v1/teams/141,True,False,9,17,10,.630,5,139,Tampa Bay Rays,/api/v1/teams/139,False,False,9,10.0,10th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 4, 'hits': 5, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 10, 'ordinalNum': '10th', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}]",5.0,10.0,0.0,9.0,6.0,10.0,0.0,4.0,606192.0,Teoscar Hernandez,/api/v1/people/606192,665489.0,Vladimir Guerrero Jr.,/api/v1/people/665489,543768.0,Travis Shaw,/api/v1/people/543768,2.0,2.0,3.0,12,Tropicana Field,/api/v1/venues/12,/api/v1/game/630960/content,,
2,631103,/api/v1.1/game/631103/feed/live,R,2020,2020-08-21T23:05:00Z,2020-08-21,False,1,True,N,P,N,14-631103-2020-08-21,2020,night,9,False,120,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,11,13,.458,2,158,Milwaukee Brewers,/api/v1/teams/158,False,False,9,5,17,.227,7,134,Pittsburgh Pirates,/api/v1/teams/134,True,False,9,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 3, 'hits': 5, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 1, 'leftOnBase': 2}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 3, 'hits': 5, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}]",7.0,14.0,0.0,6.0,2.0,5.0,2.0,7.0,621028.0,Kevin Newman,/api/v1/people/621028,605137.0,Josh Bell,/api/v1/people/605137,592567.0,Colin Moran,/api/v1/people/592567,2.0,1.0,3.0,31,PNC Park,/api/v1/venues/31,/api/v1/game/631103/content,,
3,631548,/api/v1.1/game/631548/feed/live,R,2020,2020-08-21T23:10:00Z,2020-08-21,False,1,True,N,P,N,14-631548-2020-08-21,2020,night,9,False,120,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,10,14,.417,10,116,Detroit Tigers,/api/v1/teams/116,True,False,9,16,10,.615,5,114,Cleveland Indians,/api/v1/teams/114,False,False,9,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 3, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 7, 'hits': 5, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 3, 'hits': 4, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}]",5.0,10.0,0.0,9.0,10.0,13.0,0.0,6.0,519222.0,Austin Romine,/api/v1/people/519222,670623.0,Isaac Paredes,/api/v1/people/670623,592348.0,Niko Goodrum,/api/v1/people/592348,0.0,3.0,3.0,5,Progressive Field,/api/v1/venues/5,/api/v1/game/631548/content,,
4,630324,/api/v1.1/game/630324/feed/live,R,2020,2020-08-21T23:10:00Z,2020-08-21,False,1,True,N,P,N,14-630324-2020-08-21,2020,night,9,False,120,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,9,13,.409,2,143,Philadelphia Phillies,/api/v1/teams/143,False,False,9,15,11,.577,11,144,Atlanta Braves,/api/v1/teams/144,True,False,9,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 4, 'hits': 5, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 7, 'hits': 4, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 2, 'leftOnBase': 1}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",11.0,14.0,0.0,8.0,2.0,7.0,2.0,8.0,542255.0,Ender Inciarte,/api/v1/people/542255,665506.0,Cristian Pache,/api/v1/people/665506,588751.0,Adeiny Hechavarria,/api/v1/people/588751,2.0,2.0,3.0,4705,Truist Park,/api/v1/venues/4705,/api/v1/game/630324/content,,
5,631665,/api/v1.1/game/631665/feed/live,R,2020,2020-08-21T23:35:00Z,2020-08-21,False,1,True,N,P,N,14-631665-2020-08-21,2020,night,9,False,120,4,2,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,9,18,.333,8,111,Boston Red Sox,/api/v1/teams/111,True,False,9,12,14,.462,5,110,Baltimore Orioles,/api/v1/teams/110,False,False,9,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 3, 'hits': 2, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 3, 'hits': 1, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",5.0,8.0,0.0,7.0,8.0,9.0,0.0,3.0,502110.0,J.D. Martinez,/api/v1/people/502110,593428.0,Xander Bogaerts,/api/v1/people/593428,543877.0,Christian Vazquez,/api/v1/people/543877,0.0,1.0,3.0,2,Oriole Park at Camden Yards,/api/v1/venues/2,/api/v1/game/631665/content,,
6,631409,/api/v1.1/game/631409/feed/live,R,2020,2020-08-22T00:05:00Z,2020-08-21,False,1,True,N,P,N,14-631409-2020-08-21,2020,night,9,False,120,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,17,10,.630,2,142,Minnesota Twins,/api/v1/teams/142,False,False,9,11,15,.423,7,118,Kansas City Royals,/api/v1/teams/118,True,False,9,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 4, 'hits': 4, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 2}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 2, 'hits': 2, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",7.0,10.0,0.0,5.0,2.0,6.0,0.0,8.0,593160.0,Whit Merrifield,/api/v1/people/593160,670032.0,Nicky Lopez,/api/v1/people/670032,641531.0,Hunter Dozier,/api/v1/people/641531,1.0,1.0,3.0,7,Kauffman Stadium,/api/v1/venues/7,/api/v1/game/631409/content,,
7,630990,/api/v1.1/game/630990/feed/live,R,2020,2020-08-22T00:15:00Z,2020-08-21,False,1,True,N,P,N,14-630990-2020-08-21,2020,night,9,False,120,4,2,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,11,13,.458,4,113,Cincinnati Reds,/api/v1/teams/113,True,False,9,7,8,.467,2,138,St. Louis Cardinals,/api/v1/teams/138,False,False,9,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 2}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 1, 'hits': 0, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 0, 'errors': 2, 'leftOnBase': 0}, 'away': {'runs': 4, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}]",2.0,3.0,2.0,7.0,4.0,2.0,0.0,5.0,458015.0,Joey Votto,/api/v1/people/458015,592206.0,Nick Castellanos,/api/v1/people/592206,608671.0,Travis Jankowski,/api/v1/people/608671,1.0,1.0,3.0,2889,Busch Stadium,/api/v1/venues/2889,/api/v1/game/630990/content,,
8,631633,/api/v1.1/game/631633/feed/live,R,2020,2020-08-22T00:15:00Z,2020-08-21,False,1,True,N,P,N,14-631633-2020-08-21,2020,night,9,False,145,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,16,11,.593,10,145,Chicago White Sox,/api/v1/teams/145,True,False,9,16,9,.640,1,112,Chicago Cubs,/api/v1/teams/112,False,False,8,9.0,9th,Bottom,Bottom,False,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 0}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 0, 'hits': 1, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 3, 'hits': 3, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 2, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 0, 'hits': 1, 'errors': 1, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 0, 'errors': 1, 'leftOnBase': 0}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 1}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 9, 'ordinalNum': '9th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 1, 'errors': 0, 'leftOnBase': 0}}]",1.0,7.0,2.0,7.0,10.0,12.0,1.0,4.0,673357.0,Luis Robert,/api/v1/people/673357,664901.0,Danny Mendick,/api/v1/people/664901,641553.0,Adam Engel,/api/v1/people/641553,1.0,3.0,3.0,17,Wrigley Field,/api/v1/venues/17,/api/v1/game/631633/content,,
9,631078,/api/v1.1/game/631078/feed/live,R,2020,2020-08-22T01:10:00Z,2020-08-21,False,1,True,N,P,N,14-631078-2020-08-21,2020,night,9,False,120,3,1,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,15,11,.577,3,117,Houston Astros,/api/v1/teams/117,False,False,9,16,12,.571,4,135,San Diego Padres,/api/v1/teams/135,True,False,9,9.0,9th,Top,Top,True,9.0,"[{'num': 1, 'ordinalNum': '1st', 'home': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 2}, 'away': {'runs': 1, 'hits': 3, 'errors': 0, 'leftOnBase': 3}}, {'num': 2, 'ordinalNum': '2nd', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}}, {'num': 3, 'ordinalNum': '3rd', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}, {'num': 4, 'ordinalNum': '4th', 'home': {'runs': 1, 'hits': 0, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 5, 'ordinalNum': '5th', 'home': {'runs': 2, 'hits': 3, 'errors': 0, 'leftOnBase': 1}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 6, 'ordinalNum': '6th', 'home': {'runs': 0, 'hits': 1, 'errors': 0, 'leftOnBase': 3}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 1}}, {'num': 7, 'ordinalNum': '7th', 'home': {'runs': 0, 'hits': 1, 'errors': 1, 'leftOnBase': 1}, 'away': {'runs': 1, 'hits': 2, 'errors': 0, 'leftOnBase': 2}}, {'num': 8, 'ordinalNum': '8th', 'home': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 0}}, {'num': 9, 'ordinalNum': '9th', 'home': {'hits': 0, 'errors': 0, 'leftOnBase': 0}, 'away': {'runs': 0, 'hits': 0, 'errors': 0, 'leftOnBase': 1}}]",4.0,9.0,1.0,9.0,3.0,8.0,0.0,11.0,665487.0,Fernando Tatis Jr.,/api/v1/people/665487,543333.0,Eric Hosmer,/api/v1/people/543333,592518.0,Manny Machado,/api/v1/people/592518,3.0,2.0,3.0,2680,Petco Park,/api/v1/venues/2680,/api/v1/game/631078/content,,
